fishId,fishNo,balance_before,balance_after,difference,elapsed_seconds
1432,1,1627399.68,1627399.68,0.00,262
1433,1,1627399.68,1626899.68,-500.00,263
1435,1,1626899.68,1626899.68,0.00,263
1436,1,1626899.68,1626899.68,0.00,264
1437,1,1626899.68,1626899.68,0.00,264
1439,1,1626899.68,1626899.68,0.00,265
1459,1,1626899.68,1626899.68,0.00,266
1460,1,1626899.68,1626899.68,0.00,266
1461,1,1626899.68,1626499.68,-400.00,267
1463,1,1626499.68,1626499.68,0.00,268
1466,1,1626499.68,1626499.68,0.00,268
1467,1,1626499.68,1626499.68,0.00,269
1468,1,1626499.68,1626499.68,0.00,270
1469,1,1626499.68,1626499.68,0.00,270
1470,1,1626499.68,1626499.68,0.00,271
1471,1,1626499.68,1626299.68,-200.00,271
1472,1,1626299.68,1626299.68,0.00,272
1473,1,1626299.68,1626299.68,0.00,272
1474,1,1626299.68,1626299.68,0.00,273
1475,1,1626299.68,1626199.68,-100.00,273
1476,1,1626199.68,1626199.68,0.00,274
1477,1,1626199.68,1626199.68,0.00,275
1478,1,1626199.68,1626199.68,0.00,275
1479,1,1626199.68,1626199.68,0.00,276
1480,1,1625999.68,1625999.68,0.00,276
1481,1,1625999.68,1625999.68,0.00,277
1482,1,1625999.68,1625799.68,-200.00,277
1483,1,1625799.68,1625799.68,0.00,278
1484,1,1625799.68,1625799.68,0.00,278
1485,1,1625799.68,1625399.68,-400.00,279
1486,1,1625399.68,1625399.68,0.00,279
1487,1,1625399.68,1625399.68,0.00,280
1488,1,1625399.68,1625399.68,0.00,280
1514,1,1625399.68,1625799.68,400.00,281
1534,1,1625799.68,1625799.68,0.00,281
1571,1,1625799.68,1625799.68,0.00,282
1574,1,1625799.68,1625899.68,100.00,283
1576,1,1625899.68,1625899.68,0.00,283
1588,1,1625899.68,1625899.68,0.00,284
1595,1,1625899.68,1625899.68,0.00,284
1630,1,1625899.68,1625499.68,-400.00,285
1636,1,1625499.68,1625499.68,0.00,285
1656,1,1625499.68,1625499.68,0.00,286
1657,1,1625499.68,1625499.68,0.00,286
